,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,A,0.05891815805348877,105.465,0.006700933,0.3171,0.704,0.72,6.216965,28.697548,0.88,0.0069,0.13229999,3.67,16.142,2.215,6.5245943,3.42,47.548534,0.042
0,AAP,0.016717227134835033,157.17000000000002,0.003959637,0.0954,0.62,1.0,1.1316255,17.27193,0.2,0.0064,0.047080003,9.12,54.26,6.491,2.9030595,1.62,24.267447,0.522
0,AAT,-0.04614191547111279,21.560000000000002,0.044334978,1.4211,1.08,1.0,3.967435,25.360825,2.75,0.041100003,0.12197,0.97,21.656,0.761,1.1359439,12.34,32.32589,-0.141
0,ABB,0.054610209734863524,27.11,0.030866964,1.2317,0.826,0.83,2.158144,24.675924,3.18,0.0308,0.0583,1.08,5.695,0.719,4.679543,,37.06537,3.984
0,ABBV,-0.05968667255075022,85.305,0.053561058,0.9847,4.61,4.72,4.1520543,7.020593,4.05,0.0548,0.19204001,12.14,8.337,4.523,10.223103,0.87,18.843689,
0,ABEV,0.004149377593360981,2.43,0.056573708,0.8658,0.142,0.12,,18.615385,2.56,0.0481,0.17135,0.13,0.987,0.176,2.4518745,-3.06,13.750001,-0.513
0,ABG,0.10058501604076242,104.0,,0.0,,,0.33143532,9.227848,,,0.02323,12.64,36.968,8.17,3.1551614,0.56,14.276622,-0.097
0,ABR,0.052397868561278926,11.719999999999999,0.103066444,2.125,1.21,1.24,4.076995,10.304348,9.02,0.10560001,0.18961,1.15,9.058,0.52,1.3082359,2.91,22.788464,0.493
0,ABT,0.020346073397984332,107.255,0.01299304,0.7907,1.4,1.44,6.04291,25.674643,1.9,0.0134000005,0.098900005,4.18,17.271,1.731,6.2138844,2.18,61.998848,-0.466
0,ACA,0.020507399577167185,48.31,0.004259851,0.081999995,0.2,0.2,1.2420777,19.308,,0.0042,0.06319,2.5,38.284,2.44,1.26084,4.09,19.782787,0.047
0,ACC,0.03895004233700261,36.849999999999994,0.051380157,2.35,1.88,1.88,5.515823,193.73685,4.08,0.0514,0.12243,0.19,23.503,0.8,1.5661831,6.4,46.0125,
0,ACCO,-0.0014970059880239361,6.715,0.038173653,0.2965,0.255,0.26,0.35118568,6.1759257,,0.039,0.047319997,1.08,7.533,0.876,0.8854374,0.93,7.6141553,-0.85
0,ACH,-0.10269360269360273,5.26,,0.0,,,,-533.0,,,0.001,-0.01,13.125,0.325,0.40609524,,16.4,-0.981
0,ACRE,0.032804232804232836,9.725000000000001,0.13850997,3.1429,1.32,1.32,5.8527975,8.413794,9.1,0.1385,0.20084,1.16,14.006,0.366,0.6968442,-4.56,26.666668,0.001
0,ADC,-0.004688445251058715,60.485,0.036172513,1.2062,2.34,2.4,16.595026,37.82184,3.9,0.037100002,0.41983002,1.74,40.693,1.943,1.6172314,-42.44,33.870304,0.361
0,ADM,0.09015498799388766,49.870000000000005,0.029068578,0.45220003,1.42,1.44,0.4315151,14.602339,3.05,0.0295,0.02754,3.42,34.7,3.141,1.439193,-1.78,15.899394,0.996
0,ADS,0.16221584639152486,52.905,0.040214475,0.3177,2.1,0.84,0.4777215,4.6152496,,0.0168,0.011080001,11.41,24.205,1.095,2.1755836,1.3,48.091324,-0.724
0,ADSW,0.011363636363636465,30.265,,0.0,,,1.7306341,67.244446,,,0.00018999999,0.45,10.426,0.003,2.9023597,5.91,10086.667,
