,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,A,0.10375504292955418,106.905,0.0066843904,0.3171,0.704,0.72,6.2984257,29.073568,0.88,0.0068,0.13229999,3.67,16.142,2.215,6.610085,3.42,48.17156,0.042
0,AAP,0.009706840390879545,152.92000000000002,0.003936008,0.0954,0.62,1.0,1.11345,16.994518,0.2,0.0063,0.047080003,9.12,54.26,6.491,2.8564322,1.62,23.877678,0.522
0,AAT,-0.06718146718146711,21.36,0.04390244,1.4211,1.08,1.0,3.8964727,24.907215,2.75,0.040700004,0.12197,0.97,21.656,0.761,1.1156261,12.34,31.747702,-0.141
0,ABBV,-0.048212709620476635,86.35,0.054088935,0.9847,4.61,4.72,4.2027183,7.10626,4.05,0.0554,0.19204001,12.14,8.337,4.523,10.347847,0.87,19.073624,
0,ABEV,-0.008438818565400852,2.365,0.058677685,0.8658,0.142,0.12,,18.076923,2.56,0.0499,0.17135,0.13,0.987,0.176,2.3809524,-3.06,13.352272,-0.513
0,ABG,0.07712565838976682,114.655,,0.0,,,0.3254113,9.060126,,,0.02323,12.64,36.968,8.17,3.0978143,0.56,14.017136,-0.097
0,ABR,0.021201413427561766,11.58,0.10210971,2.125,1.21,1.24,3.9772203,10.052175,9.02,0.1046,0.18961,1.15,9.058,0.52,1.27622,2.91,22.23077,0.493
0,ABT,0.0564492823427416,109.71000000000001,0.013045099,0.7907,1.4,1.44,6.175233,26.236843,1.9,0.0134000005,0.098900005,4.18,17.271,1.731,6.349951,2.18,63.35644,-0.466
0,ACA,0.0077035186341869455,55.235,0.00414336,0.081999995,0.2,0.2,1.2454228,19.36,,0.0043,0.06319,2.5,38.284,2.44,1.2642357,4.09,19.836065,0.047
0,ACC,0.01675041876046901,37.15,0.051073074,2.35,1.88,1.88,5.457383,191.6842,4.08,0.0511,0.12243,0.19,23.503,0.8,1.5495893,6.4,45.524998,
0,ACCO,0.01070336391437321,6.625,0.038230885,0.2965,0.255,0.26,0.3480266,6.1203704,,0.038900003,0.047319997,1.08,7.533,0.876,0.87747246,0.93,7.5456624,-0.85
0,ACH,-0.09508196721311479,5.539999999999999,,0.0,,,,-552.0,,,0.001,-0.01,13.125,0.325,0.42057142,,16.984615,-0.981
